trial,blend_rate,borrow_penalty,cov_lookback_days,rebalance_freq,spread_penalty,vol_cap,vol_floor,vol_lookback_days,vol_target,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
482,0.25655263102117765,1.5002803142321415,21,52,1.545249776813726,0.8582259537461853,0.14408373061715593,8,0.2942366754406362,-0.649073,-3.805980,0.587296,1.509498,2.837334,1.679528,0.850704,2.403921,2.723701,-2.069846,2.392458,-2.489760,0.301694,-1.242962,3.875360,-1.987904,5.377735,2.363599,-0.820513,-0.518922,-3.393640,0.973538,-2.386565,3.214800,1.149599,2.084278,3.953105,3.073607,2.502315,-3.975393,0.557602,3.046953,6.030792,0.233723,-3.116453,3.901433,0.865766,6.852999,2.617823,-3.975393,6.030792,0.330720,0.2
152,0.1745784799934472,1.5108671404976877,21,47,1.5376744504923152,0.7618332047270985,0.2496730880952506,5,0.11482360890614794,-0.620028,-3.800929,0.570680,1.487486,2.842658,1.630233,0.855615,2.388219,2.721623,-2.079625,2.387928,-2.497191,0.286759,-1.223768,3.880080,-1.988681,5.385236,2.370845,-0.825485,-0.500626,-3.394286,0.964152,-2.360920,3.213339,1.122576,2.078725,3.940878,3.081458,2.518802,-3.971162,0.577762,3.048604,6.008679,0.209197,-3.109473,3.895180,0.863737,6.833969,2.614186,-3.971162,6.008679,0.330404,0.2
487,0.24997543849980414,1.4486319930093285,10,50,1.5140447908641832,0.8432462621651245,0.15892138812819673,9,0.29149570238189276,-0.633642,-3.894020,0.658810,1.496051,2.949769,1.948829,0.820779,2.519519,2.655613,-1.960291,2.337470,-2.504486,0.444487,-1.345690,3.878907,-1.908221,5.334873,2.399723,-0.763687,-0.772990,-3.466452,1.054248,-2.514301,3.336885,1.308851,2.151438,3.978482,2.985739,2.186798,-4.045474,0.249792,3.124576,6.025705,0.226604,-3.041206,3.844109,0.862989,6.934368,2.633319,-4.045474,6.025705,0.327719,0.2
121,0.19456701380879726,1.4799380829989777,21,47,1.5841847012168633,0.8103762604460154,0.2608188114890499,11,0.13305211565435573,-0.696646,-3.814158,0.604767,1.542048,2.812358,1.758879,0.820350,2.433193,2.726451,-2.071065,2.390416,-2.461460,0.328919,-1.292335,3.851820,-1.980882,5.366040,2.337370,-0.835112,-0.539538,-3.402540,0.969080,-2.429103,3.225190,1.213361,2.085993,3.973741,3.039127,2.456401,-3.990372,0.501348,3.033552,6.046407,0.264946,-3.132406,3.929034,0.862922,6.880160,2.623006,-3.990372,6.046407,0.328982,0.2
192,0.7039627174167805,1.480291688133398,22,53,1.53794046799385,0.7386994134580995,0.33161450743388377,32,0.11473331143172558,-0.700427,-3.817098,0.594465,1.525494,2.820574,1.722645,0.837478,2.430670,2.709749,-2.051668,2.400234,-2.475192,0.348820,-1.269155,3.864515,-1.969361,5.315164,2.338865,-0.829247,-0.537677,-3.439125,0.995851,-2.458428,3.220999,1.213793,2.072403,3.960849,3.037743,2.469678,-3.986020,0.540336,3.038879,6.036958,0.256182,-3.114913,3.944495,0.862459,6.868228,2.620730,-3.986020,6.036958,0.329091,0.2
322,0.20212779000220743,1.5334787694086593,22,54,1.556591756701851,0.7905449452988603,0.1509647270440144,33,0.28122016287730545,-0.564192,-3.819385,0.545457,1.424622,2.859970,1.476395,0.898925,2.360500,2.738307,-2.081996,2.395956,-2.531669,0.269397,-1.205955,3.887771,-1.991841,5.414004,2.450670,-0.837778,-0.423226,-3.412848,0.974465,-2.310656,3.186983,1.089015,2.056201,3.928789,3.089069,2.580578,-3.972257,0.565115,3.011837,6.008530,0.174813,-3.114795,3.911802,0.862016,6.841789,2.615681,-3.972257,6.008530,0.329557,0.2
120,0.19860921994743952,1.4614026639503581,21,49,1.6008051871140683,0.8061178563367153,0.2902934581375745,11,0.11599500965525827,-0.741612,-3.818283,0.623049,1.574754,2.794139,1.838174,0.793639,2.459492,2.725258,-2.065862,2.390779,-2.438832,0.355623,-1.329438,3.836137,-1.972869,5.342894,2.308291,-0.840539,-0.567059,-3.408433,0.971238,-2.474111,3.233744,1.266432,2.088103,3.990586,3.012859,2.415519,-4.000095,0.466511,3.031481,6.058714,0.294766,-3.141045,3.948944,0.861749,6.899861,2.626759,-4.000095,6.058714,0.328065,0.2
283,0.5819076933837417,1.4971697617447677,21,48,1.5263373761033072,0.6947574838248548,0.32596113808777455,34,0.24617110764422961,-0.651833,-3.795247,0.580816,1.516281,2.827707,1.694582,0.847041,2.405692,2.709201,-2.077587,2.386546,-2.473366,0.311302,-1.240104,3.873770,-1.972095,5.339454,2.321014,-0.835659,-0.530554,-3.405686,0.961215,-2.406538,3.230674,1.163927,2.074915,3.942976,3.057136,2.478684,-3.978611,0.572814,3.060866,5.994600,0.224479,-3.099428,3.906405,0.861539,6.823411,2.612166,-3.978611,5.994600,0.329818,0.2
316,0.22546710918936227,1.5350270168464422,21,49,1.5283637674058943,0.7390861673978556,0.32612459271963723,35,0.12823293372421607,-0.560736,-3.796365,0.551425,1.450680,2.853906,1.533273,0.885862,2.362088,2.725460,-2.095670,2.384123,-2.511546,0.259843,-1.198011,3.892173,-1.984902,5.394674,2.388624,-0.842915,-0.455788,-3.384607,0.949102,-2.311652,3.207282,1.081218,2.061668,3.919033,3.086574,2.550840,-3.969824,0.596583,3.047817,5.973002,0.172258,-3.097546,3.884043,0.861166,6.800502,2.607777,-3.969824,5.973002,0.330230,0.2
143,0.11635002694008267,1.4746191704797023,24,50,1.5463925750685366,0.8139210358468325,0.2411367956522147,8,0.12516675066755112,-0.724403,-3.837808,0.638366,1.552479,2.803917,1.703932,0.818612,2.428182,2.757034,-2.032192,2.415255,-2.457130,0.375377,-1.276127,3.844708,-1.938854,5.314705,2.367637,-0.851084,-0.584759,-3.437477,0.999820,-2.480384,3.193732,1.193082,2.062310,3.976686,3.030331,2.470367,-4.000294,0.476616,3.060083,6.077228,0.251711,-3.103127,3.910831,0.861093,6.885653,2.624053,-4.000294,6.077228,0.328154,0.2
