trial,blend_rate,borrow_penalty,equal_weight_blend,momentum_lookback,rebalance_freq,spread_penalty,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
9,0.48677258283541813,0.07290071680409874,0.06952143571507782,6,66,0.07068573438476171,True,0.170233,-5.937164,0.501350,2.787185,4.716747,0.619337,-2.157692,2.419907,2.766910,-2.867874,1.982255,-4.303140,2.918310,2.556050,5.194498,-1.935286,-1.596067,4.510469,2.175295,-2.151266,0.488362,-1.858549,-1.489081,7.563252,3.970914,2.828059,2.957949,1.996277,3.298111,-3.428097,3.890660,3.776813,3.995560,-1.517049,-2.658901,4.156654,1.120583,9.767157,3.125245,-5.937164,7.563252,0.358558,0.1
284,0.7890296663380428,0.08398944461903828,0.26101206879458105,18,18,0.045844077976357124,True,0.898296,-3.261770,0.241438,2.395740,1.244021,2.574891,-3.646391,4.363938,2.949850,0.962893,1.619255,-2.824242,3.258063,1.603959,0.143327,-2.534757,2.146663,3.680061,-1.949318,1.923403,-2.386499,0.960471,-1.057052,6.207197,2.973380,0.640661,3.620445,0.171710,2.183060,-2.979139,1.399889,6.409186,3.139527,0.483804,-1.739453,3.363082,1.088322,6.582586,2.565655,-3.646391,6.409186,0.424189,0.1
102,0.5885314969510976,0.07943734908583752,0.17901749643476877,6,32,0.07008882948572448,True,0.000485,-5.892138,0.501350,2.652518,4.485039,0.619337,-2.131881,2.467915,2.766910,-2.822712,1.982255,-3.815708,-1.009864,2.450425,5.089810,-1.765527,-1.420742,4.787446,1.853289,-2.164515,0.751927,-1.640854,-1.562365,7.405335,3.821618,2.765401,2.876375,2.478374,3.121849,-3.428097,3.890660,4.032089,4.941371,-1.642683,-2.854035,4.156654,1.048536,9.697579,3.114094,-5.892138,7.405335,0.336707,0.1
452,0.8184762249468558,0.09136756791638084,0.20604120772983797,18,18,0.018148930635062257,True,0.479146,-3.172195,0.225889,2.393541,1.227494,3.054404,-3.780576,4.228787,3.044177,0.957793,1.810392,-2.766774,3.488710,1.303892,0.126726,-2.521794,1.897828,3.582911,-2.157410,1.860587,-2.364676,0.921548,-1.612340,5.545836,2.994901,0.570861,3.676004,0.225847,2.100934,-3.090834,1.432336,6.863756,3.465562,0.526250,-1.487290,2.503989,1.043228,6.639381,2.576700,-3.780576,6.863756,0.404870,0.1
191,0.7581587159232495,0.08411469067428641,0.22931335642106873,18,18,0.01754396033873882,True,0.426725,-3.269190,0.241482,2.518463,1.264178,2.598708,-3.740602,4.221789,2.919089,0.682768,1.981116,-2.165831,3.486969,1.321623,0.369036,-2.043544,1.905071,3.334278,-2.233963,1.996631,-2.163558,0.934813,-2.222248,5.531908,3.084721,0.513168,3.706697,0.108722,2.049340,-3.137421,1.530647,6.754517,3.665529,0.453797,-1.514451,2.280479,1.038652,6.454769,2.540624,-3.740602,6.754517,0.408818,0.1
142,0.7894544479153891,0.0730985220713978,0.2709755076350345,5,12,0.06738774897377348,True,-0.046402,-7.126717,-0.690923,1.779675,0.734588,0.619337,-1.139159,2.857760,-2.067638,-1.708563,0.303500,-1.914820,2.024132,-0.357872,6.353751,-0.930539,4.630336,4.329587,-1.137725,-0.868630,1.443549,0.075945,-4.766599,3.943566,6.355301,2.678954,4.675969,3.209220,1.100314,-0.155768,5.892163,5.191699,7.048433,-2.494864,-7.089332,3.810956,1.015644,12.286373,3.505192,-7.126717,7.048433,0.289754,0.1
368,0.5463688911113418,0.0943010171121478,0.22607413244664906,18,20,0.021294771722924648,True,-1.149871,-4.493367,0.530688,3.176043,0.945905,1.344166,-3.667882,3.378058,1.949713,0.098555,2.148845,-2.870598,3.059235,1.860239,-0.917549,-0.573593,0.338476,3.595902,-1.533200,1.591122,0.003057,1.009477,-0.605301,6.560653,4.451458,1.430925,3.203041,-0.343374,2.653396,-3.514999,0.645393,6.260505,3.099759,0.923324,-1.584069,3.128875,1.003695,6.577205,2.564606,-4.493367,6.560653,0.391364,0.1
171,0.7762370116477012,0.08931205609070632,0.15692192658879303,18,20,0.01334497826553126,True,-1.111974,-4.298110,0.541319,3.424003,0.919061,1.033634,-3.806766,3.363153,1.836149,0.020967,2.228946,-3.318056,3.312880,1.701017,-0.670012,-0.732921,0.528552,3.346488,-1.358555,1.729170,-0.066577,1.122140,-1.253353,6.130912,4.535442,1.583204,3.151245,-0.062709,2.574024,-3.340464,0.747108,6.483521,3.182684,1.120851,-1.332155,2.445919,0.991965,6.499773,2.549465,-4.298110,6.483521,0.389087,0.1
192,0.7978741976714351,0.0838786195026198,0.2188492181825879,19,18,0.017533914907190508,True,1.072749,-5.039013,0.233007,2.560046,-0.119098,1.874708,-3.448951,4.290754,3.419704,2.581516,1.875636,-2.779506,-1.530293,1.326718,0.493901,-1.945913,1.714962,2.285644,-1.508854,1.466896,-2.022609,1.059161,0.306964,5.681111,3.246817,0.044358,6.489956,1.073161,2.054081,-2.634995,0.910266,6.710655,4.107612,0.349594,-1.807204,1.086012,0.985543,7.205941,2.684388,-5.039013,6.710655,0.367139,0.1
413,0.47479802915219255,0.09546948759878135,0.19966456943411376,18,20,0.011431519173718888,True,-1.238868,-4.515354,0.493638,3.209138,1.055328,1.415690,-3.685158,3.343120,1.852306,0.064713,2.249051,-2.736606,3.207385,1.785882,-0.962305,-0.567360,0.142186,3.550731,-1.502504,1.522251,0.006370,1.003915,-0.713215,6.095390,4.457799,1.381851,3.170163,-0.357046,2.647551,-3.474039,0.681003,6.374019,3.194962,0.928892,-1.512369,2.794799,0.982314,6.442299,2.538168,-4.515354,6.374019,0.387017,0.1
