strategy,group_idx,holdout_month_index,sharpe
baseline,0,24,2.4997067271111564
baseline,1,25,-4.306617741229178
baseline,2,26,0.501349963050023
baseline,3,27,0.8904137208322463
baseline,4,28,1.0725682085697195
baseline,5,29,0.6193365370904588
baseline,6,30,-2.181661765079817
baseline,7,31,4.153141507795274
baseline,8,32,2.7669095335975946
baseline,9,33,-1.6146313756312192
baseline,10,34,1.9822549520175536
baseline,11,35,-3.191357925989958
baseline,12,36,-1.0098643206518512
baseline,13,37,-0.35787214447956034
baseline,14,38,2.3892450807657033
baseline,15,39,1.9809903168583336
baseline,16,40,2.861170754841047
baseline,17,41,1.120363800828791
baseline,18,42,-3.0669826855975795
baseline,19,43,2.2248020337755627
baseline,20,44,-1.2481297378323886
baseline,21,45,0.8627695823926771
baseline,22,46,-2.316703807936538
baseline,23,47,1.815517743828682
baseline,24,48,0.8797105418205029
baseline,25,49,0.3956706076571981
baseline,26,50,3.7771838671731977
baseline,27,51,0.6342145074946561
baseline,28,52,0.7826696847131447
baseline,29,53,-3.4280973334459737
baseline,30,54,3.890660286568996
baseline,31,55,3.3378613453870067
baseline,32,56,5.614683706129327
baseline,33,57,-1.1895123417274662
baseline,34,58,-3.1046517880473656
baseline,35,59,4.156654458068339
cost_aware_tilt,0,24,2.3073300762473576
cost_aware_tilt,1,25,-5.077363302513144
cost_aware_tilt,2,26,0.9310968426235968
cost_aware_tilt,3,27,1.1776473291113945
cost_aware_tilt,4,28,1.960632425202125
cost_aware_tilt,5,29,-0.1424318162086968
cost_aware_tilt,6,30,0.025875003971713016
cost_aware_tilt,7,31,4.603752254451583
cost_aware_tilt,8,32,1.631290383837911
cost_aware_tilt,9,33,-1.4828513017541396
cost_aware_tilt,10,34,1.5696331495214995
cost_aware_tilt,11,35,-2.2493997802265486
cost_aware_tilt,12,36,-0.6629345421202568
cost_aware_tilt,13,37,-1.0392921562099025
cost_aware_tilt,14,38,4.033697061666799
cost_aware_tilt,15,39,-2.508977970052904
cost_aware_tilt,16,40,4.950449726928978
cost_aware_tilt,17,41,1.9808523128565254
cost_aware_tilt,18,42,-0.31255521592421914
cost_aware_tilt,19,43,0.20506271486045904
